CA30 Economic Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wages and salaries (thousands of dollars) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1836256,1971658,2122843,2361000,2659512,3004125,3237834,3580492,3967546,4482729,4991538,5316361,5651262,5841232,6140492,6718856,7305629,7731291,8252412,8872194,9356255,9998944,10393023,11058023,11535628,12244717,13063068,13806566,14632885,15484468,16435068,17172873,17754776,18304053,18796392,19842262,20903135,21960679,23110528,23458815,22192551,22129379,22778406,24045300,24387800,25265023,26301632
13900,"Bismarck, ND (Metropolitan Statistical Area)",122466,137805,149488,166669,188184,218860,254984,303809,339099,378784,439412,489484,525178,561606,585440,614957,638784,651505,685910,714172,754208,804187,851261,921215,978347,1040664,1103991,1148788,1219257,1299121,1366559,1439462,1534100,1593804,1712914,1839307,1924581,2054821,2196020,2322178,2396785,2550576,2731403,3022511,3249863,3534608,3705264
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)*",249941,240965,249266,278105,317847,345042,357461,397039,449885,513261,568852,613805,659071,694285,760968,867669,930727,987121,1072509,1164426,1222413,1267702,1239731,1288444,1327186,1416678,1469815,1517689,1634884,1716907,1874130,1956315,1988448,2063821,2154174,2247557,2357099,2488291,2593616,2597931,2517258,2526427,2628378,2757068,2808465,2931666,3042890
14010,"Bloomington, IL (Metropolitan Statistical Area)",264609,288486,318012,351401,389752,434619,482883,535310,606988,676686,767940,830038,930530,984861,1050147,1192267,1274182,1172268,1233526,1389307,1546695,1703032,1804246,1953959,2038842,2246997,2405689,2517414,2656283,2908836,3202173,3369731,3519607,3681697,3785311,3856591,3935168,4186257,4317661,4577163,4597065,4688016,4841485,5033952,5170738,5133394,5285120
14020,"Bloomington, IN (Metropolitan Statistical Area)",186787,199346,230531,246083,268082,281205,279506,322343,361980,411289,446644,492868,545968,573686,617743,664679,709358,778128,854259,928550,999123,1079737,1144470,1228729,1286380,1365451,1437738,1533362,1621811,1721852,1805117,1907861,1916491,1976430,2080861,2156007,2225841,2308419,2421601,2520925,2552997,2554581,2627415,2700942,2742192,2823541,3002506
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",162887,163494,172998,194696,221003,247685,237825,255048,280328,315814,356526,384118,415027,427094,459141,497441,542338,563770,607130,655333,697991,744246,773249,831721,868198,933974,906044,918613,988755,1081650,1114536,1139553,1121766,1188350,1205942,1288701,1353852,1434152,1569481,1652912,1672808,1735011,1832633,1907900,2000607,1981807,2046266
14260,"Boise City, ID (Metropolitan Statistical Area)",398478,446870,494792,564579,646740,734489,852050,976921,1119537,1291186,1422464,1524381,1662655,1724319,1821023,1980128,2111852,2164514,2257720,2509731,2750489,3024609,3311080,3683529,4077837,4598906,5073914,5323773,5689025,6171913,6827333,7869677,7886019,7971903,8181089,8810505,9513136,10688732,11184991,10902466,10218192,10351811,10634144,11000158,11674605,12493485,13060397
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",11675692,12565090,13258507,14333107,15611010,16598803,17151530,18452987,20202535,22560021,25351194,28426403,31366603,34089221,37516770,42478543,46701314,50738386,55519440,60953672,63130086,64182896,63697950,66561384,69125566,72428891,77543144,82672768,89597579,97597212,106901762,121682509,123546212,119816603,120676122,127742959,131912057,140112793,149987605,154361110,147840321,153137397,160079315,167036539,171974786,182544443,194209317
14500,"Boulder, CO (Metropolitan Statistical Area)*",279469,312617,352402,397158,446793,509906,580332,665091,773597,922501,1082017,1205080,1379294,1559246,1726103,1980753,2023356,2111190,2281535,2465165,2636187,2871632,3137880,3457050,3720700,4020933,4402725,4793369,5354491,6331575,7016734,8624192,8638797,7284948,7321032,7683938,8034585,8474159,8921684,9171322,8617279,8885839,9334898,9837772,10262861,10858602,11430706
14540,"Bowling Green, KY (Metropolitan Statistical Area)",122612,135888,150652,170676,195908,218087,236825,269590,298939,350227,396572,418712,482664,497263,527553,582586,633001,642996,682677,729246,788216,829352,891108,989520,1048893,1156198,1243230,1327125,1424090,1488583,1590447,1652236,1681018,1744460,1823713,1929543,2055485,2168120,2297963,2386164,2256641,2315959,2403413,2495773,2582883,2729464,2890648
