"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population (number of persons) 1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
14540,"Bowling Green, KY (Metropolitan Statistical Area)",87103,89652,93520,95307,95464,96904,98351,100546,102335,104207,105640,107557,109593,114875,116854,113805,113170,112523,112227,112325,112679,114270,115583,117502,120327,122686,125345,127749,130090,132238,133747,135367,136901,138510,140921,143044,145918,149324,151710,154513,156978,159154,160716,162102,164022,165947,168436
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",101363,101617,101606,102225,112257,111965,119117,120976,125902,132640,140733,148762,154907,155059,160515,161742,163546,164293,169760,178929,182461,191879,199636,209562,211262,214422,223391,226584,229403,228878,229393,232720,234513,238129,239758,241960,239806,245054,244105,246912,248800,251723,254458,254764,253325,254525,260131
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",780867,792934,792758,788034,786524,788324,794554,797444,810423,802642,802656,808703,813186,817943,821854,825107,830396,831797,828277,826605,827517,828860,833094,834372,838945,842482,848057,854421,861020,868651,877043,884364,889063,892900,896342,897472,897653,896254,897498,903824,910421,919744,929013,935238,941793,945816,948053
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",138947,141196,147753,157489,166939,172211,182806,189415,194722,198941,205544,211944,220184,230718,238878,242355,245894,250996,253714,254410,256512,261728,269261,277322,288297,297316,304928,312086,318281,324556,330277,336123,342368,350194,358492,366299,373429,380169,386306,393000,400303,407626,413130,415977,418071,420400,422156
15260,"Brunswick, GA (Metropolitan Statistical Area)",63379,64102,65809,67537,68446,67760,66301,66832,68260,68464,70289,71952,72718,73627,74420,75513,76517,77877,79049,80269,81414,82437,83303,84259,85624,86487,87522,88541,90027,91160,92420,93344,95052,96612,98180,99879,101532,104715,107334,109579,111343,112540,113010,113360,113876,114758,116003
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",1344024,1351513,1354743,1347603,1333861,1318687,1312980,1303095,1289794,1276092,1263570,1241275,1232720,1223579,1210449,1197531,1191856,1184555,1179756,1181174,1185954,1190943,1194992,1198490,1200744,1200479,1197885,1194167,1186175,1178462,1173102,1169060,1165067,1161678,1159918,1156070,1148563,1141712,1137678,1136364,1135377,1135566,1135593,1135198,1136008,1136642,1135230
15500,"Burlington, NC (Metropolitan Statistical Area)",96050,96843,98499,99740,99940,99272,98243,98721,98505,98540,99048,99532,100083,101000,101559,101706,102524,103515,105072,106327,107425,108695,110762,112825,114678,116788,118796,121263,123877,126232,128743,131423,133346,135239,136009,137619,139311,141462,144712,147704,149954,151581,152947,153822,154886,156357,158276
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",130602,134673,137553,140585,140865,141657,143608,145209,147509,149023,151554,155430,157017,158663,160287,161724,163751,165834,167755,171477,174979,177757,179447,181178,183909,187186,189300,191043,193040,194691,197026,199600,201361,203052,204201,205652,206637,207426,208232,209332,210435,211554,212886,213968,215177,216335,217042
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",46838,47840,50127,50805,49928,51667,52738,53724,54522,56744,58541,60176,61182,61697,62450,63245,64618,66570,69083,71785,74130,76361,77952,78815,77994,78737,79222,80633,83165,84967,85627,86498,87455,89819,92333,94900,96871,98849,100599,101921,103273,105758,107779,109019,109510,110350,111413
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",391478,394389,396830,394589,404798,406348,402470,400573,401304,404117,402887,404365,403233,401616,399727,399131,396527,393569,392135,393752,394481,394606,397025,399399,402098,403612,404924,405915,406235,406189,406983,406887,406256,406039,406046,405960,405168,405343,405939,406140,405127,404286,403186,403390,403299,403847,402976
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",99376,107430,116946,127672,137276,146825,154905,159632,173998,182920,192597,208050,218795,230932,241554,255299,267107,280483,295262,306842,322253,339012,351069,359679,368938,380928,391823,400723,410841,421889,431981,444311,461037,478889,497662,522431,555029,582678,604716,610984,612297,620532,631368,644865,660929,679233,701982
